2	12	0	  0	80
=====UNKNOWN=====
=====UNKNOWN=====
=====UNKNOWN=====
2	12	0	  0	84
2	10	0	  0	80
2	8	0	  0	84
=====UNKNOWN=====
2	11	0	  0	80
=====UNKNOWN=====
2	14	7	  9	84
=====UNKNOWN=====
2	11	0	  0	84
=====UNKNOWN=====
=====UNKNOWN=====
=====UNKNOWN=====
=====UNKNOWN=====
=====UNKNOWN=====
=====UNKNOWN=====
=====UNKNOWN=====
2	15	9	 40	80
=====UNKNOWN=====
2	12	0	  0	84
=====UNKNOWN=====
=====UNKNOWN=====
=====UNKNOWN=====
=====UNKNOWN=====
2	12	0	  0	84
2	9	0	  0	84
2	10	0	  0	84
=====UNKNOWN=====
=====UNKNOWN=====
2	10	0	  0	92
=====UNKNOWN=====
2	13	2	 10	84
=====UNKNOWN=====
=====UNKNOWN=====
=====UNKNOWN=====
=====UNKNOWN=====
2	18	12	 70	88
=====UNKNOWN=====
=====UNKNOWN=====
=====UNKNOWN=====
=====UNKNOWN=====
=====UNKNOWN=====
=====UNKNOWN=====
=====UNKNOWN=====
2	8	0	  0	88
=====UNKNOWN=====
=====UNKNOWN=====
1	11	9	 41	40
1	8	5	 10	40
1	12	11	 52	40
1	4	0	  0	40
1	8	7	 18	40
1	7	0	  0	40
1	12	11	 47	40
1	12	10	 59	40
1	5	0	  0	44
1	5	0	  0	44
1	10	7	 43	40
1	5	0	  0	48
1	11	9	 46	40
1	6	0	  0	44
1	10	6	 40	40
1	7	0	  0	40
1	8	6	 18	40
1	4	0	  0	44
1	11	10	 44	40
1	5	0	  0	44
1	12	11	 52	40
1	8	5	 16	40
1	6	0	  0	40
1	10	10	 29	40
1	5	0	  0	44
1	6	0	  0	40
1	9	6	 37	40
1	12	11	 50	40
1	5	0	  0	52
1	5	0	  0	44
1	10	9	 35	40
1	7	5	  8	40
1	11	9	 51	40
1	5	0	  0	44
1	9	6	 35	40
1	9	7	 23	40
1	4	0	  0	44
1	10	9	 33	40
1	10	9	 33	40
1	8	6	 10	40
1	5	0	  0	44
1	8	2	  4	44
1	11	7	 56	40
1	9	6	 35	40
1	12	11	 50	40
1	10	8	 45	40
1	8	5	 10	40
1	11	8	 52	40
1	12	12	 48	40
1	6	0	  0	40
